"","shipment_id","order_id","prod_id","delivery_departed_date","delivery_received_date","est_delivery_date","shipper_name","delivery_recipient","delivery_fee","delivery_status"
"22","sm22","o299","prod17","06-11-2023","07-11-2023","07-11-2023","DHL","Jess",5,"Delivered"
"23","sm23","o444","prod12","03-01-2022","04-01-2022","04-01-2022","DHL","Megan",5,"Delivered"
"24","sm24","o395","prod17","10-02-2024","11-02-2024","11-02-2024","DHL","Samantha",5,"Delivered"
"25","sm25","o442","prod12","15-01-2022","16-01-2022","16-01-2022","DHL","Jorge",5,"Delivered"
"26","sm26","o401","prod01","04-03-2022","05-03-2022","05-03-2022","DHL","Kelsey",5,"Delivered"
"27","sm27","o264","prod01","12-12-2023","13-12-2023","13-12-2023","DHL","Charlotte",5,"Delivered"
"28","sm28","o416","prod01","12-09-2022","13-09-2022","13-09-2022","DHL","Corrine",5,"Delivered"
"29","sm29","o433","prod01","04-03-2022","05-03-2022","05-03-2022","DHL","Nhan",5,"Delivered"
"30","sm30","o479","prod14","03-06-2023","04-06-2023","04-06-2023","DHL","Richard",5,"Delivered"
"31","sm31","o391","prod01","09-07-2023","10-07-2023","10-07-2023","DHL","Shane",5,"Delivered"
"32","sm32","o429","prod01","03-01-2022","04-01-2022","04-01-2022","DHL","Yoosuf",5,"Delivered"
"33","sm33","o085","prod01","24-09-2022","25-09-2022","25-09-2022","DHL","Amanda",5,"Delivered"
"34","sm34","o483","prod06","23-03-2023","24-03-2023","24-03-2023","DHL","Donovan",5,"Delivered"
"35","sm35","o465","prod12","30-11-2023","01-12-2023","01-12-2023","DHL","Ryan",5,"Delivered"
"36","sm36","o103","prod14","20-02-2022","21-02-2022","21-02-2022","DHL","Brittni",5,"Delivered"
"37","sm37","o178","prod01","09-07-2023","10-07-2023","10-07-2023","DHL","Thu",5,"Delivered"
"38","sm38","o201","prod07","15-02-2023","16-02-2023","16-02-2023","DHL","Grayson",5,"Delivered"
"39","sm39","o339","prod07","16-03-2022","17-03-2022","17-03-2022","DHL","Ausha",5,"Delivered"
"40","sm40","o152","prod14","31-08-2022","01-09-2022","01-09-2022","DHL","Saxon",5,"Delivered"
"41","sm41","o362","prod19","05-12-2022","06-12-2022","06-12-2022","DHL","Gabriela",5,"Delivered"
"42","sm42","o431","prod01","11-11-2022","12-11-2022","12-11-2022","DHL","George",5,"Delivered"
"43","sm43","o229","prod07","07-09-2023","08-09-2023","08-09-2023","DHL","Angelica",5,"Delivered"
"44","sm44","o110","prod01","23-03-2023","24-03-2023","24-03-2023","DHL","Esther",5,"Delivered"
"45","sm45","o262","prod07","14-07-2022","15-07-2022","15-07-2022","DHL","Naseem",5,"Delivered"
"46","sm46","o014","prod01","28-03-2022","29-03-2022","29-03-2022","DHL","Danijah",5,"Delivered"
"47","sm47","o217","prod09","20-02-2022","21-02-2022","21-02-2022","DHL","Marylin",5,"Delivered"
"48","sm48","o357","prod03","22-02-2024","23-02-2024","23-02-2024","DHL","Zahra",5,"Delivered"
"49","sm49","o145","prod07","04-03-2022","05-03-2022","05-03-2022","DHL","Mus'ab",5,"Delivered"
"50","sm50","o059","prod07","17-01-2024","18-01-2024","18-01-2024","DHL","Catrina",5,"Delivered"
"51","sm51","o406","prod12","17-01-2024","18-01-2024","18-01-2024","DHL","Shaakir",5,"Delivered"
"52","sm52","o203","prod12","23-11-2022","24-11-2022","24-11-2022","DHL","Eric",5,"Delivered"
"53","sm53","o089","prod01","19-08-2022","20-08-2022","20-08-2022","DHL","Catherina",5,"Delivered"
"54","sm54","o352","prod01","05-01-2024","06-01-2024","06-01-2024","DHL","Courtney",5,"Delivered"
"55","sm55","o256","prod01","09-07-2023","10-07-2023","10-07-2023","DHL","Anthony",5,"Delivered"
"56","sm56","o195","prod01","28-03-2022","29-03-2022","29-03-2022","DHL","Eduardo",5,"Delivered"
"57","sm57","o322","prod17","22-05-2023","23-05-2023","23-05-2023","DHL","Allison",5,"Delivered"
"58","sm58","o210","prod12","11-11-2022","12-11-2022","12-11-2022","DHL","Saamyya",5,"Delivered"
"59","sm59","o172","prod17","05-01-2024","06-01-2024","06-01-2024","DHL","Warda",5,"Delivered"
"60","sm60","o472","prod07","11-11-2022","12-11-2022","12-11-2022","DHL","Brandi",5,"Delivered"
"61","sm61","o486","prod12","24-09-2022","25-09-2022","25-09-2022","DHL","Richard",5,"Delivered"
"62","sm62","o134","prod01","01-10-2023","02-10-2023","02-10-2023","DHL","Lance",5,"Delivered"
"63","sm63","o166","prod07","13-10-2023","14-10-2023","14-10-2023","DHL","Maisoon",5,"Delivered"
"64","sm64","o185","prod07","17-01-2024","18-01-2024","18-01-2024","DHL","Michael",5,"Delivered"
"65","sm65","o325","prod07","14-08-2023","15-08-2023","15-08-2023","DHL","Dhaahir",5,"Delivered"
"66","sm66","o168","prod12","23-03-2023","24-03-2023","24-03-2023","DHL","Erin",5,"Delivered"
"67","sm67","o308","prod02","16-04-2023","17-04-2023","17-04-2023","DHL","Habeeba",5,"Delivered"
"68","sm68","o495","prod02","16-03-2022","17-03-2022","17-03-2022","DHL","Mackenzie",5,"Delivered"
"69","sm69","o334","prod07","09-07-2023","10-07-2023","10-07-2023","DHL","Duy",5,"Delivered"
"70","sm70","o387","prod07","26-08-2023","27-08-2023","27-08-2023","DHL","Gabriella",5,"Delivered"
"71","sm71","o040","prod12","19-09-2023","20-09-2023","20-09-2023","DHL","Marissa",5,"Delivered"
"72","sm72","o253","prod05","11-03-2023","12-03-2023","12-03-2023","DHL","Candi",5,"Delivered"
"73","sm73","o105","prod07","03-02-2023","04-02-2023","04-02-2023","DHL","Conor",5,"Delivered"
"74","sm74","o340","prod02","03-01-2022","04-01-2022","04-01-2022","DHL","Haashim",5,"Delivered"
"75","sm75","o410","prod07","01-10-2023","02-10-2023","02-10-2023","DHL","Caitlin",5,"Delivered"
"76","sm76","o291","prod12","20-06-2022","21-06-2022","21-06-2022","DHL","Gabriel",5,"Delivered"
"77","sm77","o228","prod18","21-07-2023","22-07-2023","22-07-2023","DHL","Kelsey",5,"Delivered"
"78","sm78","o174","prod02","23-11-2022","24-11-2022","24-11-2022","DHL","Jhasmyne",5,"Delivered"
"79","sm79","o092","prod02","08-02-2022","09-02-2022","09-02-2022","DHL","Kelvin",5,"Delivered"
"80","sm80","o142","prod18","06-11-2023","07-11-2023","07-11-2023","DHL","Tam",5,"Delivered"
"81","sm81","o413","prod07","10-01-2023","11-01-2023","11-01-2023","DHL","Jared",5,"Delivered"
"82","sm82","o065","prod14","24-09-2022","25-09-2022","25-09-2022","DHL","Blake",5,"Delivered"
"83","sm83","o182","prod02","18-11-2023","19-11-2023","19-11-2023","DHL","Stefani",5,"Delivered"
"84","sm84","o383","prod02","16-04-2023","17-04-2023","17-04-2023","DHL","Khaalida",5,"Delivered"
"85","sm85","o058","prod02","20-02-2022","21-02-2022","21-02-2022","DHL","Joyce",5,"Delivered"
"86","sm86","o378","prod14","22-02-2024","23-02-2024","23-02-2024","DHL","Bailey",5,"Delivered"
"87","sm87","o026","prod04","23-11-2022","24-11-2022","24-11-2022","DHL","Haley",5,"Delivered"
"88","sm88","o481","prod02","29-01-2024","30-01-2024","30-01-2024","DHL","Katrina",5,"Delivered"
"89","sm89","o231","prod18","20-02-2022","21-02-2022","21-02-2022","DHL","Krishawnda",5,"Delivered"
"90","sm90","o468","prod02","22-01-2023","23-01-2023","23-01-2023","DHL","Radiyya",5,"Delivered"
"91","sm91","o267","prod07","25-10-2023","26-10-2023","26-10-2023","DHL","Torien",5,"Delivered"
"92","sm92","o222","prod13","03-06-2023","04-06-2023","04-06-2023","DHL","Randy",5,"Delivered"
"93","sm93","o071","prod04","27-01-2022","28-01-2022","28-01-2022","DHL","Matthew",5,"Delivered"
"94","sm94","o476","prod02","14-07-2022","15-07-2022","15-07-2022","DHL","April",5,"Delivered"
"95","sm95","o196","prod04","30-11-2023","01-12-2023","01-12-2023","DHL","Laniece",5,"Delivered"
"96","sm96","o374","prod18","16-03-2022","17-03-2022","17-03-2022","DHL","Allison",5,"Delivered"
"97","sm97","o095","prod11","23-03-2023","24-03-2023","24-03-2023","DHL","Jerry",5,"Delivered"
"98","sm98","o018","prod09","21-07-2023","22-07-2023","22-07-2023","DHL","Bryan",5,"Delivered"
"99","sm99","o210","prod02","11-11-2022","12-11-2022","12-11-2022","DHL","Saamyya",5,"Delivered"
"100","sm100","o353","prod02","10-05-2023","11-05-2023","11-05-2023","DHL","Ashley",5,"Delivered"
"101","sm101","o272","prod02","16-04-2023","17-04-2023","17-04-2023","DHL","Edward",5,"Delivered"
"102","sm102","o039","prod13","23-11-2022","24-11-2022","24-11-2022","DHL","Ghaalib",5,"Delivered"
"103","sm103","o222","prod18","03-06-2023","04-06-2023","04-06-2023","DHL","Randy",5,"Delivered"
"104","sm104","o359","prod18","22-02-2024","23-02-2024","23-02-2024","DHL","Daniela",5,"Delivered"
"105","sm105","o054","prod10","27-02-2023","28-02-2023","28-02-2023","DHL","Todd",5,"Delivered"
"106","sm106","o044","prod06","24-12-2023","25-12-2023","25-12-2023","DHL","Yusri",5,"Delivered"
"107","sm107","o473","prod13","23-03-2023","24-03-2023","24-03-2023","DHL","Chandler",5,"Delivered"
"108","sm108","o350","prod02","19-09-2023","20-09-2023","20-09-2023","DHL","Carmen",5,"Delivered"
"109","sm109","o012","prod15","10-05-2023","11-05-2023","11-05-2023","DHL","Monica",5,"Delivered"
"110","sm110","o301","prod18","03-01-2022","04-01-2022","04-01-2022","DHL","Nicholas",5,"Delivered"
"111","sm111","o367","prod02","15-05-2022","16-05-2022","16-05-2022","DHL","Jeremiah",5,"Delivered"
"112","sm112","o238","prod04","28-03-2022","29-03-2022","29-03-2022","DHL","Ashley",5,"Delivered"
"113","sm113","o078","prod18","26-07-2022","27-07-2022","27-07-2022","DHL","Yuliza",5,"Delivered"
"114","sm114","o215","prod02","10-05-2023","11-05-2023","11-05-2023","DHL","Shareefa",5,"Delivered"
"115","sm115","o455","prod13","10-02-2024","11-02-2024","11-02-2024","DHL","Dezant",5,"Delivered"
"116","sm116","o326","prod02","05-12-2022","06-12-2022","06-12-2022","DHL","K'Rene",5,"Delivered"
"117","sm117","o500","prod02","27-01-2022","28-01-2022","28-01-2022","DHL","Tyler",5,"Delivered"
"118","sm118","o061","prod13","11-03-2023","12-03-2023","12-03-2023","DHL","Samantha",5,"Delivered"
"119","sm119","o045","prod04","31-08-2022","01-09-2022","01-09-2022","DHL","Munsif",5,"Delivered"
"120","sm120","o137","prod13","14-08-2023","15-08-2023","15-08-2023","DHL","Naazil",5,"Delivered"
"121","sm121","o068","prod02","03-01-2022","04-01-2022","04-01-2022","DHL","Destiny",5,"Delivered"
"122","sm122","o213","prod08","03-02-2023","04-02-2023","04-02-2023","DHL","Muslih",5,"Delivered"
"123","sm123","o378","prod02","22-02-2024","23-02-2024","23-02-2024","DHL","Bailey",5,"Delivered"
"124","sm124","o051","prod10","04-04-2023","05-04-2023","05-04-2023","DHL","Jordana",5,"Delivered"
"125","sm125","o133","prod08","20-06-2022","21-06-2022","21-06-2022","DHL","Lawhatney",5,"Delivered"
"126","sm126","o259","prod03","26-07-2022","27-07-2022","27-07-2022","DHL","Tyler",5,"Delivered"
"127","sm127","o256","prod03","09-07-2023","10-07-2023","10-07-2023","DHL","Anthony",5,"Delivered"
"128","sm128","o246","prod08","02-07-2022","03-07-2022","03-07-2022","DHL","Mariah",5,"Delivered"
"129","sm129","o483","prod13","23-03-2023","24-03-2023","24-03-2023","DHL","Donovan",5,"Delivered"
"130","sm130","o407","prod08","26-08-2023","27-08-2023","27-08-2023","DHL","Kayla",5,"Delivered"
"131","sm131","o300","prod20","08-06-2022","09-06-2022","09-06-2022","DHL","Victor",5,"Delivered"
"132","sm132","o292","prod20","23-11-2022","24-11-2022","24-11-2022","DHL","Taylor",5,"Delivered"
"133","sm133","o328","prod19","08-06-2022","09-06-2022","09-06-2022","DHL","Abdul Azeez",5,"Delivered"
"134","sm134","o377","prod13","22-02-2024","23-02-2024","23-02-2024","DHL","Juanito",5,"Delivered"
"135","sm135","o127","prod19","20-06-2022","21-06-2022","21-06-2022","DHL","Natasha",5,"Delivered"
"136","sm136","o496","prod03","31-08-2022","01-09-2022","01-09-2022","DHL","Usaama",5,"Delivered"
"137","sm137","o106","prod20","27-06-2023","28-06-2023","28-06-2023","DHL","Johnny",5,"Delivered"
"138","sm138","o010","prod15","07-08-2022","08-08-2022","08-08-2022","DHL","Jennifer",5,"Delivered"
"139","sm139","o457","prod04","20-02-2022","21-02-2022","21-02-2022","DHL","Ismail",5,"Delivered"
"140","sm140","o308","prod03","16-04-2023","17-04-2023","17-04-2023","DHL","Habeeba",5,"Delivered"
"141","sm141","o432","prod05","23-03-2023","24-03-2023","24-03-2023","DHL","Kianna",5,"Delivered"
"142","sm142","o336","prod08","18-11-2023","19-11-2023","19-11-2023","DHL","Shania",5,"Delivered"
"143","sm143","o226","prod08","29-01-2024","30-01-2024","30-01-2024","DHL","Oscar",5,"Delivered"
"144","sm144","o118","prod08","23-03-2023","24-03-2023","24-03-2023","DHL","Haazima",5,"Delivered"
"145","sm145","o078","prod13","26-07-2022","27-07-2022","27-07-2022","DHL","Yuliza",5,"Delivered"
"146","sm146","o066","prod03","29-01-2024","30-01-2024","30-01-2024","DHL","Jessica",5,"Delivered"
"147","sm147","o403","prod03","15-02-2023","16-02-2023","16-02-2023","DHL","Raaida",5,"Delivered"
"148","sm148","o100","prod05","30-10-2022","31-10-2022","31-10-2022","DHL","Derrick",5,"Delivered"
"149","sm149","o068","prod14","03-01-2022","04-01-2022","04-01-2022","DHL","Destiny",5,"Delivered"
"150","sm150","o361","prod08","07-09-2023","08-09-2023","08-09-2023","DHL","Kaazima",5,"Delivered"
"151","sm151","o328","prod10","08-06-2022","09-06-2022","09-06-2022","DHL","Abdul Azeez",5,"Delivered"
"152","sm152","o347","prod03","11-11-2022","12-11-2022","12-11-2022","DHL","Bryce",5,"Delivered"
"153","sm153","o158","prod14","04-04-2023","05-04-2023","05-04-2023","DHL","Kailynda",5,"Delivered"
"154","sm154","o051","prod10","04-04-2023","05-04-2023","05-04-2023","DHL","Jordana",5,"Delivered"
"155","sm155","o060","prod03","22-01-2023","23-01-2023","23-01-2023","DHL","Kevin",5,"Delivered"
"156","sm156","o114","prod08","22-05-2023","23-05-2023","23-05-2023","DHL","Vijay",5,"Delivered"
"157","sm157","o456","prod15","26-08-2023","27-08-2023","27-08-2023","DHL","Andrew",5,"Delivered"
"158","sm158","o304","prod03","06-10-2022","07-10-2022","07-10-2022","DHL","Cheyane",5,"Delivered"
"159","sm159","o053","prod03","03-06-2023","04-06-2023","04-06-2023","DHL","Yissel",5,"Delivered"
"160","sm160","o411","prod03","12-09-2022","13-09-2022","13-09-2022","DHL","Haitham",5,"Delivered"
"161","sm161","o435","prod05","05-01-2024","06-01-2024","06-01-2024","DHL","Drew",5,"Delivered"
"162","sm162","o490","prod10","30-10-2022","31-10-2022","31-10-2022","DHL","Nu'maan",5,"Delivered"
"163","sm163","o157","prod05","20-06-2022","21-06-2022","21-06-2022","DHL","Gabriela",5,"Delivered"
"164","sm164","o322","prod10","22-05-2023","23-05-2023","23-05-2023","DHL","Allison",5,"Delivered"
"165","sm165","o274","prod03","03-01-2022","04-01-2022","04-01-2022","DHL","Carter",5,"Delivered"
"166","sm166","o250","prod14","22-02-2024","23-02-2024","23-02-2024","DHL","Jim",5,"Delivered"
"167","sm167","o206","prod09","30-10-2022","31-10-2022","31-10-2022","DHL","Christian",5,"Delivered"
"168","sm168","o189","prod17","29-01-2024","30-01-2024","30-01-2024","DHL","Nakheel",5,"Delivered"
"169","sm169","o267","prod19","25-10-2023","26-10-2023","26-10-2023","DHL","Torien",5,"Delivered"
"170","sm170","o104","prod19","12-12-2023","13-12-2023","13-12-2023","DHL","Ramziyya",5,"Delivered"
"171","sm171","o451","prod09","21-07-2023","22-07-2023","22-07-2023","DHL","Adidas",5,"Delivered"
"172","sm172","o339","prod03","16-03-2022","17-03-2022","17-03-2022","DHL","Ausha",5,"Delivered"
"173","sm173","o024","prod03","30-10-2022","31-10-2022","31-10-2022","DHL","Lameek",5,"Delivered"
"174","sm174","o295","prod09","10-01-2023","11-01-2023","11-01-2023","DHL","Allison",5,"Delivered"
"175","sm175","o253","prod09","11-03-2023","12-03-2023","12-03-2023","DHL","Candi",5,"Delivered"
"176","sm176","o209","prod19","03-05-2022","04-05-2022","04-05-2022","DHL","Chanen",5,"Delivered"
"177","sm177","o075","prod07","26-07-2022","27-07-2022","27-07-2022","DHL","Essence",5,"Delivered"
"178","sm178","o071","prod19","27-01-2022","28-01-2022","28-01-2022","DHL","Matthew",5,"Delivered"
"179","sm179","o179","prod09","20-06-2022","21-06-2022","21-06-2022","DHL","Melissa",5,"Delivered"
"180","sm180","o463","prod19","21-04-2022","22-04-2022","22-04-2022","DHL","Najeeb",5,"Delivered"
"181","sm181","o427","prod09","09-04-2022","10-04-2022","10-04-2022","DHL","Stacy",5,"Delivered"
"182","sm182","o087","prod19","12-12-2023","13-12-2023","13-12-2023","DHL","Ashley",5,"Delivered"
"183","sm183","o450","prod09","10-02-2024","11-02-2024","11-02-2024","DHL","Elana",5,"Delivered"
"184","sm184","o097","prod04","24-12-2023","25-12-2023","25-12-2023","DHL","Samantha",5,"Delivered"
"185","sm185","o004","prod04","22-05-2023","23-05-2023","23-05-2023","DHL","Evelyn",5,"Delivered"
"186","sm186","o354","prod14","20-02-2022","21-02-2022","21-02-2022","DHL","Brandon",5,"Delivered"
"187","sm187","o216","prod05","16-03-2022","17-03-2022","17-03-2022","DHL","Sarah",5,"Delivered"
"188","sm188","o438","prod09","01-10-2023","02-10-2023","02-10-2023","DHL","Mudrik",5,"Delivered"
"189","sm189","o215","prod14","10-05-2023","11-05-2023","11-05-2023","DHL","Shareefa",5,"Delivered"
"190","sm190","o132","prod05","16-04-2023","17-04-2023","17-04-2023","DHL","Nathaniel",5,"Delivered"
"191","sm191","o348","prod20","03-02-2023","04-02-2023","04-02-2023","DHL","Leticia",5,"Delivered"
"192","sm192","o280","prod14","13-10-2023","14-10-2023","14-10-2023","DHL","Eyob",5,"Delivered"
"193","sm193","o040","prod11","19-09-2023","20-09-2023","20-09-2023","DHL","Marissa",5,"Delivered"
"194","sm194","o429","prod14","03-01-2022","04-01-2022","04-01-2022","DHL","Yoosuf",5,"Delivered"
"195","sm195","o143","prod04","13-10-2023","14-10-2023","14-10-2023","DHL","Brandon",5,"Delivered"
"196","sm196","o123","prod14","22-01-2023","23-01-2023","23-01-2023","DHL","Arely",5,"Delivered"
"197","sm197","o145","prod04","04-03-2022","05-03-2022","05-03-2022","DHL","Mus'ab",5,"Delivered"
"198","sm198","o408","prod09","27-06-2023","28-06-2023","28-06-2023","DHL","Maria",5,"Delivered"
"199","sm199","o432","prod14","23-03-2023","24-03-2023","24-03-2023","DHL","Kianna",5,"Delivered"
"200","sm200","o166","prod09","13-10-2023","14-10-2023","14-10-2023","DHL","Maisoon",5,"Delivered"
"201","sm201","o432","prod09","23-03-2023","24-03-2023","24-03-2023","DHL","Kianna",5,"Delivered"
"202","sm202","o172","prod14","05-01-2024","06-01-2024","06-01-2024","DHL","Warda",5,"Delivered"
"203","sm203","o426","prod11","27-05-2022","28-05-2022","28-05-2022","DHL","James",5,"Delivered"
"204","sm204","o485","prod20","20-06-2022","21-06-2022","21-06-2022","DHL","Natasha",5,"Delivered"
"205","sm205","o466","prod04","09-04-2022","10-04-2022","10-04-2022","DHL","Cameron",5,"Delivered"
"206","sm206","o121","prod09","02-08-2023","03-08-2023","03-08-2023","DHL","Robert",5,"Delivered"
"207","sm207","o030","prod05","27-02-2023","28-02-2023","28-02-2023","DHL","Aaron",5,"Delivered"
"208","sm208","o382","prod20","19-08-2022","20-08-2022","20-08-2022","DHL","Timothy",5,"Delivered"
"209","sm209","o055","prod09","30-10-2022","31-10-2022","31-10-2022","DHL","Ashley",5,"Delivered"
"210","sm210","o150","prod09","15-05-2022","16-05-2022","16-05-2022","DHL","Ashley",5,"Delivered"
"211","sm211","o349","prod04","09-04-2022","10-04-2022","10-04-2022","DHL","Tanner",5,"Delivered"
"212","sm212","o326","prod04","05-12-2022","06-12-2022","06-12-2022","DHL","K'Rene",5,"Delivered"
"213","sm213","o176","prod06","29-12-2022","30-12-2022","30-12-2022","DHL","Lev",5,"Delivered"
"214","sm214","o080","prod06","19-08-2022","20-08-2022","20-08-2022","DHL","Mayra",5,"Delivered"
"215","sm215","o114","prod09","22-05-2023","23-05-2023","23-05-2023","DHL","Vijay",5,"Delivered"
"216","sm216","o320","prod06","10-05-2023","11-05-2023","11-05-2023","DHL","Kevin",5,"Delivered"
"217","sm217","o069","prod09","16-04-2023","17-04-2023","17-04-2023","DHL","Raymond",5,"Delivered"
"218","sm218","o357","prod15","22-02-2024","23-02-2024","23-02-2024","DHL","Zahra",5,"Delivered"
"219","sm219","o493","prod16","25-10-2023","26-10-2023","26-10-2023","DHL","Katrina",5,"Delivered"
"220","sm220","o191","prod20","04-04-2023","05-04-2023","05-04-2023","DHL","Brandon",5,"Delivered"
"221","sm221","o282","prod04","09-04-2022","10-04-2022","10-04-2022","DHL","Hilda",5,"Delivered"
"222","sm222","o365","prod04","08-02-2022","09-02-2022","09-02-2022","DHL","Jacob",5,"Delivered"
"223","sm223","o309","prod20","03-01-2022","04-01-2022","04-01-2022","DHL","Dale",5,"Delivered"
"224","sm224","o398","prod04","09-04-2022","10-04-2022","10-04-2022","DHL","Yvette",5,"Delivered"
"225","sm225","o245","prod04","11-11-2022","12-11-2022","12-11-2022","DHL","Nicholas",5,"Delivered"
"226","sm226","o340","prod11","03-01-2022","04-01-2022","04-01-2022","DHL","Haashim",5,"Delivered"
"227","sm227","o034","prod15","19-08-2022","20-08-2022","20-08-2022","DHL","Randall",5,"Delivered"
"228","sm228","o303","prod04","30-10-2022","31-10-2022","31-10-2022","DHL","Sheila",5,"Delivered"
"229","sm229","o290","prod20","27-01-2022","28-01-2022","28-01-2022","DHL","Jeremy",5,"Delivered"
"230","sm230","o018","prod06","21-07-2023","22-07-2023","22-07-2023","DHL","Bryan",5,"Delivered"
"231","sm231","o116","prod15","31-08-2022","01-09-2022","01-09-2022","DHL","Riyaal",5,"Delivered"
"232","sm232","o142","prod15","06-11-2023","07-11-2023","07-11-2023","DHL","Tam",5,"Delivered"
"233","sm233","o488","prod20","22-02-2024","23-02-2024","23-02-2024","DHL","Yenesis",5,"Delivered"
"234","sm234","o276","prod04","10-01-2023","11-01-2023","11-01-2023","DHL","Lebon",5,"Delivered"
"235","sm235","o020","prod10","27-01-2022","28-01-2022","28-01-2022","DHL","Savanah",5,"Delivered"
"236","sm236","o191","prod15","04-04-2023","05-04-2023","05-04-2023","DHL","Brandon",5,"Delivered"
"237","sm237","o011","prod15","02-07-2022","03-07-2022","03-07-2022","DHL","Cameron",5,"Delivered"
"238","sm238","o077","prod10","30-10-2022","31-10-2022","31-10-2022","DHL","Abdul Majeed",5,"Delivered"
"239","sm239","o231","prod04","20-02-2022","21-02-2022","21-02-2022","DHL","Krishawnda",5,"Delivered"
"240","sm240","o027","prod06","26-07-2022","27-07-2022","27-07-2022","DHL","Keanna",5,"Delivered"
"241","sm241","o081","prod10","10-05-2023","11-05-2023","11-05-2023","DHL","Simone",5,"Delivered"
"242","sm242","o219","prod15","29-12-2022","30-12-2022","30-12-2022","DHL","Avela Piper",5,"Delivered"
"243","sm243","o361","prod06","07-09-2023","08-09-2023","08-09-2023","DHL","Kaazima",5,"Delivered"
"244","sm244","o358","prod11","07-09-2023","08-09-2023","08-09-2023","DHL","Jonathan",5,"Delivered"
"245","sm245","o490","prod17","30-10-2022","31-10-2022","31-10-2022","DHL","Nu'maan",5,"Delivered"
"246","sm246","o080","prod20","19-08-2022","20-08-2022","20-08-2022","DHL","Mayra",5,"Delivered"
"247","sm247","o234","prod15","19-09-2023","20-09-2023","20-09-2023","DHL","A",5,"Delivered"
"248","sm248","o117","prod04","20-02-2022","21-02-2022","21-02-2022","DHL","Griffin",5,"Delivered"
"249","sm249","o113","prod04","03-06-2023","04-06-2023","04-06-2023","DHL","Chase",5,"Delivered"
"250","sm250","o054","prod10","27-02-2023","28-02-2023","28-02-2023","DHL","Todd",5,"Delivered"
"251","sm251","o110","prod20","23-03-2023","24-03-2023","24-03-2023","DHL","Esther",5,"Delivered"
"252","sm252","o021","prod12","03-05-2022","04-05-2022","04-05-2022","DHL","Taylor",5,"Delivered"
"253","sm253","o252","prod12","30-11-2023","01-12-2023","01-12-2023","DHL","Christina",5,"Delivered"
"254","sm254","o009","prod04","14-08-2023","15-08-2023","15-08-2023","DHL","Matthew",5,"Delivered"
"255","sm255","o005","prod10","13-10-2023","14-10-2023","14-10-2023","DHL","Destinee",5,"Delivered"
"256","sm256","o249","prod04","09-07-2023","10-07-2023","10-07-2023","DHL","Josephine-Marie",5,"Delivered"
"257","sm257","o127","prod10","20-06-2022","21-06-2022","21-06-2022","DHL","Natasha",5,"Delivered"
"258","sm258","o389","prod08","04-03-2022","05-03-2022","05-03-2022","DHL","Christian",5,"Delivered"
"259","sm259","o092","prod16","08-02-2022","09-02-2022","09-02-2022","DHL","Kelvin",5,"Delivered"
"260","sm260","o027","prod16","26-07-2022","27-07-2022","27-07-2022","DHL","Keanna",5,"Delivered"
"261","sm261","o309","prod05","03-01-2022","04-01-2022","04-01-2022","DHL","Dale",5,"Delivered"
